Time_sec,Reference_Force_N,Actual_Force_N,Error_N
0.0,1.0,-54.08,55.08
0.0,1.0,-54.08,55.08
0.003,1.0,-53.76,54.76
0.007,1.0,-53.17,54.17
0.01,1.0,0.0,1.0
0.012,1.0,-53.05,54.05
0.015,1.0,-53.02,54.02
0.018,1.0,-53.04,54.04
0.021,1.0,-53.1,54.1
0.024,1.0,-53.05,54.05
0.027,1.0,-53.09,54.09
0.03,1.0,-53.1,54.1
0.033,1.0,-53.08,54.08
0.036,1.0,-53.04,54.04
0.039,1.0,-53.1,54.1
0.042,1.0,-53.06,54.06
0.045,1.0,-53.03,54.03
0.049,1.0,-53.08,54.08
0.052,1.0,-53.01,54.01
0.055,1.0,-52.97,53.97
0.058,1.0,-53.05,54.05
0.061,1.0,-53.11,54.11
0.064,1.0,-53.06,54.06
0.067,1.0,-53.09,54.09
0.07,1.0,-53.1,54.1
0.073,1.0,-53.03,54.03
0.076,1.0,-53.03,54.03
0.079,1.0,-53.05,54.05
0.082,1.0,-53.04,54.04
0.085,1.0,-53.05,54.05
0.088,1.0,-53.1,54.1
0.091,1.0,0.0,1.0
0.094,1.0,-53.08,54.08
0.097,1.0,-53.08,54.08
0.1,1.0,-53.06,54.06
0.103,1.0,-53.08,54.08
0.106,1.0,-53.04,54.04
0.109,1.0,-53.07,54.07
0.112,1.0,-53.07,54.07
0.115,1.0,-53.03,54.03
0.118,1.0,-53.02,54.02
0.121,1.0,-53.02,54.02
0.124,1.0,-52.99,53.99
0.127,1.0,-53.06,54.06
0.13,1.0,-53.09,54.09
0.133,1.0,-53.05,54.05
0.136,1.0,-53.02,54.02
0.139,1.0,-53.07,54.07
0.142,1.0,-53.03,54.03
0.145,1.0,-53.02,54.02
0.148,1.0,-53.06,54.06
0.151,1.0,-53.05,54.05
0.154,1.0,-53.06,54.06
0.157,1.0,-53.08,54.08
0.16,1.0,-53.1,54.1
0.164,1.0,-53.02,54.02
0.167,1.0,-53.05,54.05
0.17,1.0,-53.04,54.04
0.173,1.0,0.0,1.0
0.175,1.0,-52.97,53.97
0.178,1.0,-53.02,54.02
0.181,1.0,-53.04,54.04
0.184,1.0,-53.01,54.01
0.187,1.0,-53.08,54.08
0.19,1.0,-53.12,54.12
0.193,1.0,-53.03,54.03
0.196,1.0,-53.0,54.0
0.199,1.0,-53.12,54.12
0.202,1.0,-53.08,54.08
0.206,1.0,-53.02,54.02
0.209,1.0,-53.07,54.07
0.212,1.0,-53.0,54.0
0.215,1.0,-52.99,53.99
0.218,1.0,-53.03,54.03
0.221,1.0,-53.07,54.07
0.224,1.0,-53.05,54.05
0.227,1.0,-53.07,54.07
0.23,1.0,-53.12,54.12
0.233,1.0,-53.04,54.04
0.236,1.0,-53.02,54.02
0.239,1.0,-53.08,54.08
0.242,1.0,-53.03,54.03
0.245,1.0,-53.0,54.0
0.248,1.0,-53.04,54.04
0.251,1.0,-53.05,54.05
0.254,1.0,0.0,1.0
0.257,1.0,-53.01,54.01
0.26,1.0,-53.05,54.05
0.263,1.0,-53.08,54.08
0.266,1.0,-53.1,54.1
0.269,1.0,-53.11,54.11
0.272,1.0,-53.08,54.08
0.275,1.0,-53.03,54.03
0.278,1.0,-53.09,54.09
0.281,1.0,-53.08,54.08
0.284,1.0,-53.0,54.0
0.287,1.0,-53.03,54.03
0.29,1.0,-53.07,54.07
0.293,1.0,-53.04,54.04
0.296,1.0,-53.04,54.04
0.299,1.0,-53.09,54.09
0.302,1.0,-53.07,54.07
0.305,1.0,-53.04,54.04
0.308,1.0,-53.05,54.05
0.311,1.0,-53.0,54.0
0.314,1.0,-53.01,54.01
0.317,1.0,-53.03,54.03
0.32,1.0,-53.05,54.05
0.324,1.0,-53.01,54.01
0.327,1.0,-53.06,54.06
0.33,1.0,-53.06,54.06
0.333,1.0,-53.03,54.03
0.336,1.0,0.0,1.0
0.338,1.0,-53.05,54.05
0.341,1.0,-53.01,54.01
0.344,1.0,-53.01,54.01
0.347,1.0,-53.03,54.03
0.35,1.0,-53.07,54.07
0.353,1.0,-53.01,54.01
0.356,1.0,-53.04,54.04
0.359,1.0,-53.1,54.1
0.362,1.0,-53.05,54.05
0.366,1.0,-52.99,53.99
0.369,1.0,-53.08,54.08
0.372,1.0,-53.12,54.12
0.375,1.0,-53.06,54.06
0.378,1.0,-53.03,54.03
0.381,1.0,-53.04,54.04
0.384,1.0,-53.04,54.04
0.387,1.0,-53.05,54.05
0.39,1.0,-53.07,54.07
0.393,1.0,-53.03,54.03
0.396,1.0,-53.05,54.05
0.399,1.0,-53.08,54.08
0.402,1.0,-53.05,54.05
0.405,1.0,-53.08,54.08
0.408,1.0,-53.09,54.09
0.411,1.0,-53.01,54.01
0.414,1.0,-53.03,54.03
0.417,1.0,0.0,1.0
0.42,1.0,-53.09,54.09
0.423,1.0,-53.05,54.05
0.426,1.0,-53.07,54.07
0.429,1.0,-53.06,54.06
0.432,1.0,-53.03,54.03
0.435,1.0,-52.99,53.99
0.438,1.0,-53.04,54.04
0.441,1.0,-53.11,54.11
0.444,1.0,-53.01,54.01
0.447,1.0,-52.99,53.99
0.45,1.0,-53.05,54.05
0.453,1.0,-53.04,54.04
0.456,1.0,-53.06,54.06
0.459,1.0,-53.08,54.08
0.462,1.0,-53.01,54.01
0.465,1.0,-53.0,54.0
0.468,1.0,-53.07,54.07
0.471,1.0,-53.03,54.03
0.474,1.0,-52.99,53.99
0.477,1.0,-53.04,54.04
0.481,1.0,-53.05,54.05
0.484,1.0,-53.02,54.02
0.487,1.0,-53.04,54.04
0.49,1.0,-53.1,54.1
0.493,1.0,-53.09,54.09
0.496,1.0,-53.1,54.1
0.499,1.0,0.0,1.0
0.501,1.0,-53.08,54.08
0.504,1.0,-53.02,54.02
0.507,1.0,-53.03,54.03
0.51,1.0,-53.09,54.09
0.513,1.0,-53.04,54.04
0.516,1.0,-52.98,53.98
0.519,1.0,-53.05,54.05
0.523,1.0,-52.99,53.99
0.526,1.0,-52.96,53.96
0.529,1.0,-53.06,54.06
0.532,1.0,-53.1,54.1
0.535,1.0,-53.07,54.07
0.538,1.0,-53.07,54.07
0.541,1.0,-53.1,54.1
0.544,1.0,-53.03,54.03
0.547,1.0,-53.07,54.07
0.55,1.0,-53.08,54.08
0.553,1.0,-53.01,54.01
0.556,1.0,-53.06,54.06
0.559,1.0,-53.08,54.08
0.562,1.0,-53.01,54.01
0.565,1.0,-53.05,54.05
0.568,1.0,-53.09,54.09
0.571,1.0,-53.03,54.03
0.574,1.0,-53.0,54.0
0.577,1.0,-53.03,54.03
0.58,1.0,0.0,1.0
0.583,1.0,-53.09,54.09
0.586,1.0,-53.08,54.08
0.589,1.0,-53.1,54.1
0.592,1.0,-53.04,54.04
0.595,1.0,-53.01,54.01
0.598,1.0,-53.06,54.06
0.601,1.0,-53.05,54.05
0.604,1.0,-52.98,53.98
0.607,1.0,-53.07,54.07
0.61,1.0,-53.11,54.11
0.613,1.0,-53.0,54.0
0.616,1.0,-52.99,53.99
0.619,1.0,-53.04,54.04
0.622,1.0,-53.02,54.02
0.625,1.0,-53.02,54.02
0.628,1.0,-53.09,54.09
0.631,1.0,-53.01,54.01
0.634,1.0,-52.99,53.99
0.637,1.0,-53.04,54.04
0.641,1.0,-53.05,54.05
0.644,1.0,-53.01,54.01
0.647,1.0,-53.05,54.05
0.65,1.0,-53.06,54.06
0.653,1.0,-52.99,53.99
0.656,1.0,-53.01,54.01
0.659,1.0,-53.0,54.0
0.662,1.0,0.0,1.0
0.664,1.0,-52.99,53.99
0.667,1.0,-53.07,54.07
0.67,1.0,-53.08,54.08
0.673,1.0,-53.02,54.02
0.676,1.0,-53.03,54.03
0.679,1.0,-53.1,54.1
0.683,1.0,-53.07,54.07
0.686,1.0,-53.04,54.04
0.689,1.0,-53.09,54.09
0.692,1.0,-53.0,54.0
0.695,1.0,-52.98,53.98
0.698,1.0,-53.07,54.07
0.701,1.0,-53.11,54.11
0.704,1.0,-53.06,54.06
0.707,1.0,-53.05,54.05
0.71,1.0,-53.05,54.05
0.713,1.0,-53.0,54.0
0.716,1.0,-52.99,53.99
0.719,1.0,-53.02,54.02
0.722,1.0,-53.02,54.02
0.725,1.0,-53.03,54.03
0.728,1.0,-53.08,54.08
0.731,1.0,-53.04,54.04
0.734,1.0,-53.0,54.0
0.737,1.0,-53.07,54.07
0.74,1.0,-53.06,54.06
0.743,1.0,0.0,1.0
0.746,1.0,-52.97,53.97
0.749,1.0,-53.02,54.02
0.752,1.0,-53.07,54.07
0.755,1.0,-53.03,54.03
0.758,1.0,-53.04,54.04
0.761,1.0,-53.05,54.05
0.764,1.0,-52.99,53.99
0.767,1.0,-53.05,54.05
0.77,1.0,-53.13,54.13
0.773,1.0,-53.04,54.04
0.776,1.0,-53.04,54.04
0.779,1.0,-53.12,54.12
0.782,1.0,-53.03,54.03
0.785,1.0,-52.97,53.97
0.788,1.0,-53.03,54.03
0.791,1.0,-53.01,54.01
0.794,1.0,-52.92,53.92
0.798,1.0,-52.99,53.99
0.801,1.0,-53.0,54.0
0.804,1.0,-52.96,53.96
0.807,1.0,-53.03,54.03
0.81,1.0,-53.07,54.07
0.813,1.0,-53.06,54.06
0.816,1.0,-53.06,54.06
0.819,1.0,-53.07,54.07
0.822,1.0,-52.98,53.98
0.825,1.0,0.0,1.0
0.827,1.0,-52.99,53.99
0.83,1.0,-53.07,54.07
0.833,1.0,-53.05,54.05
0.836,1.0,-53.02,54.02
0.84,1.0,-53.08,54.08
0.843,1.0,-53.07,54.07
0.846,1.0,-53.05,54.05
0.849,1.0,-53.1,54.1
0.852,1.0,-53.08,54.08
0.855,1.0,-53.04,54.04
0.858,1.0,-53.07,54.07
0.861,1.0,-53.05,54.05
0.864,1.0,-53.03,54.03
0.867,1.0,-53.02,54.02
0.87,1.0,-53.04,54.04
0.873,1.0,-53.01,54.01
0.876,1.0,-53.01,54.01
0.879,1.0,-53.04,54.04
0.882,1.0,-53.0,54.0
0.885,1.0,-53.02,54.02
0.888,1.0,-53.04,54.04
0.891,1.0,-53.01,54.01
0.894,1.0,-52.97,53.97
0.897,1.0,-53.01,54.01
0.9,1.0,-53.05,54.05
0.903,1.0,-53.01,54.01
0.906,1.0,0.0,1.0
0.909,1.0,-53.06,54.06
0.912,1.0,-53.06,54.06
0.915,1.0,-53.02,54.02
0.918,1.0,-53.03,54.03
0.921,1.0,-53.09,54.09
0.924,1.0,-53.01,54.01
0.927,1.0,-52.99,53.99
0.93,1.0,-53.03,54.03
0.933,1.0,-53.07,54.07
0.936,1.0,-53.12,54.12
0.939,1.0,-53.12,54.12
0.942,1.0,-53.1,54.1
0.945,1.0,-53.07,54.07
0.948,1.0,-53.08,54.08
0.951,1.0,-53.04,54.04
0.955,1.0,-52.99,53.99
0.958,1.0,-53.05,54.05
0.961,1.0,-53.02,54.02
0.964,1.0,-52.98,53.98
0.967,1.0,-53.09,54.09
0.97,1.0,-53.18,54.18
0.973,1.0,-53.11,54.11
0.976,1.0,-53.1,54.1
0.979,1.0,-53.1,54.1
0.982,1.0,-53.01,54.01
0.985,1.0,-52.97,53.97
0.988,1.0,0.0,1.0
0.99,1.0,-53.04,54.04
0.993,1.0,-53.03,54.03
0.997,1.0,-52.97,53.97
1.0,1.0,-53.02,54.02
1.003,1.0,-53.01,54.01
1.006,1.0,-52.96,53.96
1.009,1.0,-53.03,54.03
1.012,1.0,-53.07,54.07
1.015,1.0,-53.03,54.03
1.018,1.0,-53.07,54.07
1.021,1.0,-53.11,54.11
1.024,1.0,-53.03,54.03
1.027,1.0,-53.04,54.04
1.03,1.0,-53.05,54.05
1.033,1.0,-53.03,54.03
1.036,1.0,-53.01,54.01
1.039,1.0,-53.07,54.07
1.042,1.0,-53.02,54.02
1.045,1.0,-53.0,54.0
