Timestamp (ms),Encoder1,Encoder2,Loadcell
1747963330202,248.94,122.79,2.108
1747963330302,249.01,122.83,2.593
1747963330402,248.99,122.77,4.04
1747963330502,248.99,122.79,3.739
1747963330602,247.78,122.79,3.261
1747963330702,246.94,122.94,2.475
1747963330802,244.57,122.92,2.681
1747963330902,240.35,123.05,3.342
1747963331002,233.3,123.25,3.731
1747963331102,228.46,123.43,3.173
1747963331202,222.38,123.54,3.437
1747963331302,219.32,123.63,4.605
1747963331402,217.3,123.71,4.826
1747963331502,213.83,123.78,4.862
1747963331602,213.7,123.78,4.488
1747963331702,213.61,123.76,5.435
1747963331802,213.92,123.82,5.105
1747963331902,212.99,123.74,4.561
1747963332002,204.82,124.0,4.422
1747963332102,195.26,124.22,4.289
1747963332202,185.2,124.59,4.539
1747963332302,178.41,124.75,5.883
1747963332402,178.45,124.77,6.434
1747963332502,178.49,124.81,6.485
1747963332602,172.74,124.94,5.993
1747963332702,163.49,125.14,6.368
1747963332802,153.42,125.36,5.869
1747963332902,145.53,125.56,5.376
1747963333002,145.84,125.56,5.185
1747963333102,146.35,125.54,5.443
1747963333203,145.86,125.58,3.672
1747963333302,143.36,125.63,4.216
1747963333402,127.19,126.02,5.722
1747963333503,119.32,126.17,7.0
1747963333603,117.98,126.24,7.08
1747963333703,117.89,126.22,7.558
1747963333803,117.71,126.22,8.263
1747963333903,110.66,126.39,7.352
1747963334003,97.87,126.72,7.169
1747963334103,89.81,126.92,6.581
1747963334203,85.7,127.05,7.088
1747963334303,86.25,127.05,7.991
1747963334403,85.92,127.03,9.409
1747963334503,83.04,127.12,9.313
1747963334603,72.01,127.3,8.645
1747963334703,65.22,127.6,9.585
1747963334803,60.27,127.8,10.738
1747963334903,60.49,127.78,12.538
1747963335003,60.98,127.8,13.492
1747963335103,58.21,127.93,12.721
1747963335203,48.5,128.26,13.235
1747963335303,41.68,128.37,13.221
1747963335403,37.58,128.5,14.242
1747963335503,31.64,128.53,15.872
1747963335603,31.62,128.59,16.629
1747963335703,28.87,128.61,18.134
1747963335803,24.39,128.7,18.524
1747963335903,13.23,129.03,18.237
1747963336003,356.68,129.45,17.819
1747963336103,342.16,129.76,19.332
1747963336203,341.04,129.78,22.012
1747963336303,340.95,129.76,21.388
1747963336403,335.37,129.82,20.999
1747963336503,321.85,130.15,20.734
1747963336603,304.6,130.42,21.498
1747963336703,294.12,130.72,22.931
1747963336803,291.95,130.75,20.911
