Timestamp (ms),Encoder1,Encoder2,Loadcell
1747001400145,9.02,18.77,79.001
1747001400245,97.1,18.9,78.841
1747001400346,9.06,18.79,78.888
1747001400746,97.02,18.81,78.709
1747001400846,96.36,18.77,78.869
1747001400946,97.1,18.77,78.935
1747001401046,97.04,18.81,78.982
1747001401146,97.06,18.77,78.822
1747001401246,97.04,18.81,78.596
1747001401346,97.04,18.81,78.662
1747001401446,97.04,18.79,78.775
1747001401546,97.04,18.81,78.728
1747001401646,97.04,18.77,78.926
1747001401746,97.04,18.79,79.01
1747001401846,97.04,18.79,78.831
1747001401946,97.04,18.79,78.803
1747001402046,97.02,18.85,78.86
1747001402146,97.06,18.77,78.973
1747001402246,97.02,18.79,78.916
1747001402346,97.06,18.77,78.878
1747001402446,97.04,18.79,78.907
1747001402546,97.06,18.77,78.944
1747001402646,97.08,18.77,78.737
1747001402746,97.04,18.79,78.539
1747001402846,97.04,18.88,78.473
1747001402946,97.04,18.79,78.605
1747001403046,97.04,18.77,78.784
1747001403146,97.04,18.79,78.746
1747001403246,96.95,18.79,78.633
1747001403346,97.04,18.79,78.652
1747001403446,97.04,18.81,78.633
1747001403546,97.06,18.79,78.586
1747001403646,97.02,18.79,78.643
1747001403746,97.04,18.81,78.539
1747001403847,97.04,19.58,79.095
1747001403947,96.99,24.37,80.16
1747001404047,96.95,25.23,81.442
1747001404147,96.84,31.93,82.611
1747001404247,96.53,40.63,85.052
1747001404347,96.33,50.61,88.134
1747001404447,96.18,57.11,86.664
1747001404547,95.98,62.25,80.961
1747001404647,96.05,61.59,78.916
1747001404747,96.0,60.45,76.748
1747001404847,96.09,51.02,74.533
1747001404947,96.16,49.02,73.987
1747001405047,96.16,48.63,77.832
1747001405147,96.22,46.19,81.103
1747001405247,96.25,44.21,77.257
1747001405347,96.29,44.1,75.344
1747001405447,96.47,36.85,78.69
1747001405547,96.8,21.6,80.358
1747001405647,96.84,20.44,81.734
1747001405747,96.97,14.35,88.162
1747001405847,97.04,5.69,90.895
1747001405947,97.37,353.61,90.584
1747001406047,97.39,352.46,91.536
1747001406147,97.39,351.3,94.402
1747001406247,97.43,349.01,96.673
1747001406347,97.76,335.1,97.87
1747001406447,98.07,326.8,98.087
1747001406547,98.09,327.54,93.921
1747001406647,98.09,327.54,89.425
1747001406747,98.09,327.52,86.956
1747001406847,97.98,327.13,86.532
1747001406947,98.07,327.08,88.36
1747001407047,98.09,326.82,92.554
1747001407147,98.07,326.58,92.328
